id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
FL-246,フランス語(1b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,目 フランス語(1b) 1 1 (1) FL-246 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-247,フランス語(2a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,フランス語(2a) 1 1 (1) FL-247 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=85
FL-248,フランス語(2b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,フランス語(2b) 1 1 (1) FL-248 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=85
FL-249,スペイン語(1a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,スペイン語(1a) 1 1 (1) FL-249 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=85
FL-24A,スペイン語(1b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,スペイン語(1b) 1 1 (1) FL-24A 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=85
FL-24B,スペイン語(2a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,スペイン語(2a) 1 1 (1) FL-24B 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=85
FL-24C,スペイン語(2b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,スペイン語(2b) 1 1 (1) FL-24C 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=85
FL-24D,イタリア語(1a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,イタリア語(1a) 1 1 (1) FL-24D 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=85
FL-24E,イタリア語(1b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,イタリア語(1b) 1 1 (1) FL-24E 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=85
FL-24F,英,1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,英 イタリア語(2a) 1 1 (1) FL-24F 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=85
FL-24G,イタリア語(2b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,語 イタリア語(2b) 1 1 (1) FL-24G 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=85
FL-24H,中国語(1a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,外 中国語(1a) 1 1 (1) FL-24H 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=85
FL-24I,の,1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,の 中国語(1b) 1 1 (1) FL-24I 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=85
FL-24J,中国語(2a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,外 中国語(2a) 1 1 (1) FL-24J 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=85
FL-24K,中国語(2b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,目 中国語(2b) 1 1 (1) FL-24K 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=85
FL-24L,アラビア語(1a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,科 アラビア語(1a) 1 1 (1) FL-24L 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=85
FL-24M,アラビア語(1b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,目 アラビア語(1b) 1 1 (1) FL-24M 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=85
FL-24N,アラビア語(2a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,アラビア語(2a) 1 1 (1) FL-24N 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=85
FL-24O,アラビア語(2b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,アラビア語(2b) 1 1 (1) FL-24O 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=85
FL-24P,韓国語(1a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,韓国語(1a) 1 1 (1) FL-24P 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=85
FL-24Q,韓国語(1b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,韓国語(1b) 1 1 (1) FL-24Q 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=85
FL-24R,韓国語(2a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,韓国語(2a) 1 1 (1) FL-24R 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=85
FL-24S,韓国語(2b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,韓国語(2b) 1 1 (1) FL-24S 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=85
FL-24T,日本語表現(a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,日本語表現(a) 1 1 (1) FL-24T 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=85
