id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
DD-212,統計データ解析演習,2,△ ※MS,専門分野,専門応用科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,統計データ解析演習 △ ※MS 2 2 DD-212 25 15 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-115,情報学理論,2,△,専門分野,専門基礎科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,情報学理論 △ 2 2 DD-115 25 15 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-116,アルゴリズムとデータ構造,2,△,専門分野,専門基礎科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,アルゴリズムとデータ構造 △ 2 2 DD-116 20 20 30 20 10,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-213,機械学習論,2,△,専門分野,専門応用科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,機械学習論 △ 2 2 DD-213 25 15 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-214,データマイニング,2,△,専門分野,専門応用科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,データマイニング △ 2 2 DD-214 25 15 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-215,データベース,2,△,専門分野,専門応用科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,データベース △ 2 2 DD-215 25 15 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-117,データ社会論,2,△,専門分野,専門基礎科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,データ社会論 △ 2 2 DD-117 25 20 25 15 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-118,量的ユーザー調査,2,△,専門分野,専門基礎科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,量的ユーザー調査 △ 2 2 DD-118 20 20 30 15 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-119,質的ユーザー調査,2,△,専門分野,専門基礎科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,質的ユーザー調査 △ 2 2 DD-119 20 20 30 15 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-216,経営分析論,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,経営分析論 2 2 DD-216 20 20 20 20 20,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-217,業務プロセス分析,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,業務プロセス分析 2 2 DD-217 20 20 30 20 10,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-121,リユ,2,○,専門分野,専門基礎科目,required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,リユ ユーザーエクスペリエンスデザイン入門 ○ 2 2 DD-121 20 20 30 15 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-221,デザインプレゼンテーション,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,デザインプレゼンテーション 2 2 DD-221 20 20 30 15 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-222,スー,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,スー デザインプロトタイピング(1) 2 2 DD-222 20 20 30 15 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-223,デエ,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,デエ ウェブプログラミング 2 2 DD-223 20 20 30 20 10,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-224,イス,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,イス 情報デザイン 2 2 DD-224 20 20 30 15 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-321,ンペ,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,ンペ デザインリサーチ 2 2 DD-321 20 20 30 15 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-131,デソ,2,○,専門分野,専門基礎科目,required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,デソ ソーシャルシステムデザイン入門 ○ 2 2 DD-131 20 20 30 20 10,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-231,金融・市場システム論,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,金融・市場システム論 2 2 DD-231 20 20 20 20 20,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-232,ンャ,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,ンャ サービスイノベーション 2 2 DD-232 20 20 30 20 10,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-233,ル,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,ル 経営戦略概論 2 2 DD-233 20 20 20 20 20,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-234,ス,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,ス 総合的品質管理 2 2 DD-234 20 10 30 20 20,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-235,テ,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,テ オペレーションマネジメント 2 2 DD-235 20 20 30 20 10,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-331,プロジェクトマネジメント,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,プロジェクトマネジメント 2 2 DD-331 20 20 30 20 10,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-191,そ,1,○,専門分野,専門基礎科目,required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,そ SD PBL(1) ○ 1 1 DD-191 20 10 30 30 10,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-291,SD PBL(2),1,○,専門分野,専門応用科目,required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,SD PBL(2) ○ 1 1 DD-291 20 10 30 30 10,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-391,SD PBL(3),1,○,専門分野,専門応用科目,required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,SD PBL(3) ○ 1 2 DD-391 9 24 24 24 19,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-218,デ,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,専 デ プログラミング応用演習 2 2 DD-218 25 15 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-219,機械学習演習,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,機械学習演習 2 2 DD-219 25 15 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-311,用,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,用 科 ビッグデータ解析演習 2 2 DD-311 25 15 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-312,ベイズ統計学,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,科 学 ベイズ統計学 2 2 DD-312 25 15 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-313,ニューラルネットワーク,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,ニューラルネットワーク 2 2 DD-313 25 15 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-314,画像・音声処理,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,画像・音声処理 2 2 DD-314 25 15 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-315,言語処理,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,自然言語処理 2 2 DD-315 15 20 15 10 40,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-316,ウェブデータ処理,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,ウェブデータ処理 2 2 DD-316 20 15 25 20 20,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-317,企業経営分析ケーススタディ,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,企業経営分析ケーススタディ 2 2 DD-317 20 15 25 20 20,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-322,リユ,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,リユ デザインプロトタイピング(2) 2 2 DD-322 20 20 30 15 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-323,ブランドコンセプトデザイン,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,ブランドコンセプトデザイン 2 2 DD-323 20 20 30 15 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-324,スー,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,スー インタフェースデザイン 2 2 DD-324 20 20 30 15 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-325,デエ,2,△,専門分野,専門応用科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,デエ 感性デザイン演習 △ 2 2 DD-325 20 20 30 15 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-326,イス,2,△,専門分野,専門応用科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,イス デザインプロダクション演習 △ 2 2 DD-326 20 20 30 15 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-327,ンペ,2,△,専門分野,専門応用科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,ンペ インタラクションデザイン演習 △ 2 2 DD-327 20 20 30 15 15,pdftotext_line,,department=デザイン・データ科学科; source_page=81
DD-332,ムソ,2,,専門分野,専門応用科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,ムソ ビヘイビアル・ファイナンス 2 2 DD-332 20 20 20 20 20,pdftotext_line,,department=デザイン・データ科学科; source_page=81
