id,title,credits,raw_required,category,group,courseType,source_key,source_file,source_line
FL-211,Reading Comprehension,2,,共通分野,外国語科目,elective,design_data,3db8dbc9a70710d1a1cf633fefc085e8.pdf,Reading Comprehension                                          2         (2)     (2)       2                       FL-211   20   30   20   15   15
FL-212,Debate & Discussion,2,,共通分野,外国語科目,elective,design_data,3db8dbc9a70710d1a1cf633fefc085e8.pdf,Debate & Discussion                                            2         (2)     (2)       2                       FL-212   20   25   20   20   15
FL-217,Test Taking Skills(1a),1,,共通分野,外国語科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,Test Taking Skills(1a)                  1             1    (1)                       FL-217   20     30   10   10   30
FL-218,Test Taking Skills(1b),1,,共通分野,外国語科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,Test Taking Skills(1b)                  1             1    (1)                       FL-218   20     30   10   10   30
FL-219,Test Taking Skills(2a),1,,共通分野,外国語科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,Test Taking Skills(2a)                  1             1    (1)                       FL-219   20     30   10   10   30
FL-22A,Test Taking Skills(2b),1,,共通分野,外国語科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,Test Taking Skills(2b)                  1             1    (1)                       FL-22A   20     30   10   10   30
FL-311,Academic Reading,2,△,共通分野,外国語科目,elective-required,design_data,3db8dbc9a70710d1a1cf633fefc085e8.pdf,Academic Reading                                     △         2   (2)   (2)     (2)       2                       FL-311   20   25   20   20   15
FL-312,Academic Discussion,2,△,共通分野,外国語科目,elective-required,design_data,3db8dbc9a70710d1a1cf633fefc085e8.pdf,Academic Discussion                                  △         2   (2)   (2)     (2)       2                       FL-312   20   25   20   20   15
FL-22B,Critical Reading(1a),1,,共通分野,外国語科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,Critical Reading(1a)                    1             1    (1)                       FL-22B   20     30   10   10   30
FL-22C,Critical Reading(1b),1,,共通分野,外国語科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,Critical Reading(1b)                    1             1    (1)                       FL-22C   20     30   10   10   30
FL-22D,Critical Reading(2a),1,,共通分野,外国語科目,elective,environment,e69aa2716a5d0db78c4241f183a36f63.pdf,目   Critical Reading(2a)                          1                   1        (1)                             FL-22D   20    30    10   10   30   ＳＣ開講
FL-22E,Critical Reading(2b),1,,共通分野,外国語科目,elective,environment,e69aa2716a5d0db78c4241f183a36f63.pdf,ス   Critical Reading(2b)                          1                   1        (1)                             FL-22E   20    30    10   10   30   ＳＣ開講
FL-313,Critical Reading(3a),1,,共通分野,外国語科目,elective,environment,e69aa2716a5d0db78c4241f183a36f63.pdf,キ   Critical Reading(3a)                          1                   1        (1)                             FL-313   20    30    10   10   30
FL-314,Critical Reading(3b),1,,共通分野,外国語科目,elective,environment,e69aa2716a5d0db78c4241f183a36f63.pdf,）   Critical Reading(3b)                          1                   1        (1)                             FL-314   20    30    10   10   30
FL-21F,Critical Listening(1a),1,,共通分野,外国語科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,語   Critical Listening(1a)                  1             1    (1)                       FL-21F   20     30   10   10   30
FL-21G,Critical Listening(1b),1,,共通分野,外国語科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,科   Critical Listening(1b)                  1             1    (1)                       FL-21G   20     30   10   10   30
FL-21H,Critical Listening(2a),1,,共通分野,外国語科目,elective,environment,e69aa2716a5d0db78c4241f183a36f63.pdf,Critical Listening(2a)                        1                   1        (1)                             FL-21H   20    30    10   10   30   ＳＣ開講
